phenotype	description	variable_type	source	n_non_missing	n_missing	n_controls	n_cases	PHESANT_transformation	notes
20548_2	Manifestations of mania or irritability: I was more restless than usual	binary	phesant	114422	246772	101546	12876	20548_0 || CAT-MUL-BINARY-VAR 2 || Indicator name x20502_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 3644 || Removed 0 examples != 2 but with missing value (<0) || sample 101546/12876(114422) ||	Question asked: "Please try to remember a period when you were in a "high" or "irritable" state and select all of the following that apply:" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20501~ was Yes or ~F20502~ was Yes.
20548_3	Manifestations of mania or irritability: My thoughts were racing	binary	phesant	114422	246772	103842	10580	20548_0 || CAT-MUL-BINARY-VAR 3 || Indicator name x20502_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 3644 || Removed 0 examples != 3 but with missing value (<0) || sample 103842/10580(114422) ||	Question asked: "Please try to remember a period when you were in a "high" or "irritable" state and select all of the following that apply:" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20501~ was Yes or ~F20502~ was Yes.
20548_5	Manifestations of mania or irritability: I needed less sleep than usual	binary	phesant	114422	246772	110645	3777	20548_0 || CAT-MUL-BINARY-VAR 5 || Indicator name x20502_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 3644 || Removed 0 examples != 5 but with missing value (<0) || sample 110645/3777(114422) ||	Question asked: "Please try to remember a period when you were in a "high" or "irritable" state and select all of the following that apply:" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20501~ was Yes or ~F20502~ was Yes.
20548_6	Manifestations of mania or irritability: I was more creative or had more ideas than usual	binary	phesant	114422	246772	111332	3090	20548_0 || CAT-MUL-BINARY-VAR 6 || Indicator name x20502_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 3644 || Removed 0 examples != 6 but with missing value (<0) || sample 111332/3090(114422) ||	Question asked: "Please try to remember a period when you were in a "high" or "irritable" state and select all of the following that apply:" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20501~ was Yes or ~F20502~ was Yes.
20548_7	Manifestations of mania or irritability: I was easily distracted	binary	phesant	114422	246772	105260	9162	20548_0 || CAT-MUL-BINARY-VAR 7 || Indicator name x20502_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 3644 || Removed 0 examples != 7 but with missing value (<0) || sample 105260/9162(114422) ||	Question asked: "Please try to remember a period when you were in a "high" or "irritable" state and select all of the following that apply:" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20501~ was Yes or ~F20502~ was Yes.
20548_8	Manifestations of mania or irritability: I was more confident than usual	binary	phesant	114422	246772	111137	3285	20548_0 || CAT-MUL-BINARY-VAR 8 || Indicator name x20502_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 3644 || Removed 0 examples != 8 but with missing value (<0) || sample 111137/3285(114422) ||	Question asked: "Please try to remember a period when you were in a "high" or "irritable" state and select all of the following that apply:" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20501~ was Yes or ~F20502~ was Yes.
20548_9	Manifestations of mania or irritability: I was more active than usual	binary	phesant	114422	246772	108734	5688	20548_0 || CAT-MUL-BINARY-VAR 9 || Indicator name x20502_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 3644 || Removed 0 examples != 9 but with missing value (<0) || sample 108734/5688(114422) ||	Question asked: "Please try to remember a period when you were in a "high" or "irritable" state and select all of the following that apply:" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20501~ was Yes or ~F20502~ was Yes.
20549_1	Substances taken for anxiety: Unprescribed medication (more than once)	binary	phesant	98990	262204	96426	2564	20549_0 || CAT-MUL-BINARY-VAR 1 || Indicator name x20425_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 19076 || Removed 0 examples != 1 but with missing value (<0) || sample 96426/2564(98990) ||	Question asked: "Did you ever use the following for the worry or the problems it caused? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20549_3	Substances taken for anxiety: Medication prescribed to you (for at least two weeks)	binary	phesant	98990	262204	86048	12942	20549_0 || CAT-MUL-BINARY-VAR 3 || Indicator name x20425_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 19076 || Removed 0 examples != 3 but with missing value (<0) || sample 86048/12942(98990) ||	Question asked: "Did you ever use the following for the worry or the problems it caused? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20549_4	Substances taken for anxiety: Drugs or alcohol (more than once)	binary	phesant	98990	262204	93588	5402	20549_0 || CAT-MUL-BINARY-VAR 4 || Indicator name x20425_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 19076 || Removed 0 examples != 4 but with missing value (<0) || sample 93588/5402(98990) ||	Question asked: "Did you ever use the following for the worry or the problems it caused? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20550_1	Activities undertaken to treat anxiety: Talking therapies, such as psychotherapy, counselling, group therapy or CBT	binary	phesant	98990	262204	86132	12858	20550_0 || CAT-MUL-BINARY-VAR 1 || Indicator name x20425_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 19076 || Removed 0 examples != 1 but with missing value (<0) || sample 86132/12858(98990) ||	Question asked: "Did you ever try talking therapies for these problems, or other structured activities you regard as therapeutic? Include only those you attended more than once." Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20550_3	Activities undertaken to treat anxiety: Other therapeutic activities such as mindfulness, yoga or art classes	binary	phesant	98990	262204	93255	5735	20550_0 || CAT-MUL-BINARY-VAR 3 || Indicator name x20425_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 19076 || Removed 0 examples != 3 but with missing value (<0) || sample 93255/5735(98990) ||	Question asked: "Did you ever try talking therapies for these problems, or other structured activities you regard as therapeutic? Include only those you attended more than once." Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20551_1	Substance of prescription or over-the-counter medication addiction: A sedative, benzodiazepine or sleeping tablet	binary	phesant	116746	244448	116307	439	20551_0 || CAT-MUL-BINARY-VAR 1 || Indicator name x20401_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 1320 || Removed 0 examples != 1 but with missing value (<0) || sample 116307/439(116746) ||	Question asked: "Was this addiction or dependence to one of the following? (tick all that apply)" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20503~ was Yes.
20552_1	Behavioural and miscellaneous addictions: Something else not mentioned	binary	phesant	116746	244448	116305	441	20552_0 || CAT-MUL-BINARY-VAR 1 || Indicator name x20401_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 1320 || Removed 0 examples != 1 but with missing value (<0) || sample 116305/441(116746) ||	Question asked: "Were you addicted to (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20431~ was Yes.
20552_2	Behavioural and miscellaneous addictions: A behaviour	binary	phesant	116746	244448	115530	1216	20552_0 || CAT-MUL-BINARY-VAR 2 || Indicator name x20401_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 1320 || Removed 0 examples != 2 but with missing value (<0) || sample 115530/1216(116746) ||	Question asked: "Were you addicted to (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20431~ was Yes.
20554_1	Actions taken following self-harm: See anyone from psychiatric or mental health services, including liaison services	binary	phesant	117733	243461	116040	1693	20554_0 || CAT-MUL-BINARY-VAR 1 || Indicator name x20480_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 333 || Removed 0 examples != 1 but with missing value (<0) || sample 116040/1693(117733) ||	Question asked: "Following any time when you took an overdose or deliberately tried to harm yourself did you (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20480~ was Yes.
2090	Seen doctor (GP) for nerves, anxiety, tension or depression	binary	phesant	358693	2501	235165	123528	2090_0|| CAT-SINGLE || Inc(>=10): 0(235165) || Inc(>=10): 1(123528) || CAT-SINGLE-BINARY || sample 235165/123528(358693) ||	ACE touchscreen question "Have you ever seen a general practitioner (GP) for nerves, anxiety, tension or depression?"
2100	Seen a psychiatrist for nerves, anxiety, tension or depression	binary	phesant	359535	1659	318302	41233	2100_0|| CAT-SINGLE || Inc(>=10): 0(318302) || Inc(>=10): 1(41233) || CAT-SINGLE-BINARY || sample 318302/41233(359535) ||	ACE touchscreen question "Have you ever seen a psychiatrist for nerves, anxiety, tension or depression?"
3799	Headaches for 3+ months	binary	phesant	70181	291013	38106	32075	3799_0|| CAT-SINGLE || Inc(>=10): 1(32075) || Inc(>=10): 0(38106) || CAT-SINGLE-BINARY || sample 38106/32075(70181) ||	ACE touchscreen question "Have you had headaches for more than 3 months?" ~F3799~ was collected from participants who indicated that in the last month they experienced headache that interfered with their usual activities, as defined by their answers to ~F6159~
40001_C719	Underlying (primary) cause of death: ICD10: C71.9 Brain, unspecified	binary	phesant	9092	352102	8822	270	40001_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: C719  || Inc(>=10): C719(270) ||	Underlying/primary cause of death reported for participant. Note that this may not match the text value in ~F40010~ due to transcription errors at source. Acquired from central registry.
40001_G122	Underlying (primary) cause of death: ICD10: G12.2 Motor neuron disease	binary	phesant	9092	352102	8970	122	40001_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: G122  || Inc(>=10): G122(122) ||	Underlying/primary cause of death reported for participant. Note that this may not match the text value in ~F40010~ due to transcription errors at source. Acquired from central registry.
41215_1	Detention categories: Formally detained under Part II, Mental Health Act 1983	binary	phesant	361194	0	358968	2226	41215_0 || CAT-MUL-BINARY-VAR 1 || ALL || Removed 0 examples != 1 but with missing value (<0) || sample 358968/2226(361194) ||	This field is a summary of the distinct detention category codes a participant has had recorded across all their episodes in hospital. Detention category identifies the legislation under which the person was detained. In order to conduct analyses using the source information, researchers must select the corresponding Spell and Episode (~F41128~) data-field.
41218_1	History of psychiatric care on admission: One or more previous psychiatric episodes with this Health Care Provider	binary	phesant	1872	359322	618	1254	41218_0 || CAT-MUL-BINARY-VAR 1 || NO_NAN Remove NA participants 117372 || Removed 241950 examples != 1 but with missing value (<0) || sample 618/1254(1872) ||	This field is a summary of the distinct history of psychiatric care codes a participant has had recorded across all their episodes in hospital. History of psychiatric care identifies whether a patient has previously had a psychiatric episode in hospital or not. In order to conduct analyses using the source information, researchers must select the corresponding Spell and Episode (~F41130~) data.
41218_2	History of psychiatric care on admission: One or more previous psychiatric episodes with another Health Care Provider	binary	phesant	835	360359	700	135	41218_0 || CAT-MUL-BINARY-VAR 2 || NO_NAN Remove NA participants 117372 || Removed 242987 examples != 2 but with missing value (<0) || sample 700/135(835) ||	This field is a summary of the distinct history of psychiatric care codes a participant has had recorded across all their episodes in hospital. History of psychiatric care identifies whether a patient has previously had a psychiatric episode in hospital or not. In order to conduct analyses using the source information, researchers must select the corresponding Spell and Episode (~F41130~) data.
41248_3001	Destinations on discharge from hospital (recoded): High security psychiatric hospital: NHS	binary	phesant	359447	1747	359261	186	41248_0 || CAT-MUL-BINARY-VAR 3001 || ALL || Removed 1747 examples != 3001 but with missing value (<0) || sample 359261/186(359447) ||	This field is a summary of the distinct destination on discharge codes a participant has had recorded across all their episodes in hospital. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere. In order to conduct analyses using the source information, researchers must select the corresponding Spell and Episode (~F41103~) data. Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.
41248_5003	Destinations on discharge from hospital (recoded): Transfer to other NHS provider: Psychiatry, learning disabilities	binary	phesant	359463	1731	359098	365	41248_0 || CAT-MUL-BINARY-VAR 5003 || ALL || Removed 1731 examples != 5003 but with missing value (<0) || sample 359098/365(359463) || SKIP_val:-2 < 0 ||	This field is a summary of the distinct destination on discharge codes a participant has had recorded across all their episodes in hospital. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere. In order to conduct analyses using the source information, researchers must select the corresponding Spell and Episode (~F41103~) data. Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.
4620	Number of depression episodes	ordinal	phesant	45695	315499	NA	NA	4620_0|| INTEGER || reassignments: -1=NA|-3=NA || CONTINUOUS || >20% IN ONE CATEGORY || Split into three bins: 0: [1,1], 1: (1,3), 2: >=3 ||cat N: 15888, 10560, 19247 || CAT-ORD || order: 0|1|2 || num categories: 3 ||	ACE touchscreen question "How many periods have you had when you were feeling depressed or down for at least a whole week?" The following checks were performed: If answer If answer > 9999 then rejected ~F4620~ was collected from participants who indicated they have felt depressed or down for at least a whole week, as defined by their answers to ~F4598~
4642	Ever manic/hyper for 2 days	binary	phesant	117155	244039	110586	6569	4642_0|| CAT-SINGLE || Inc(>=10): 0(110586) || Inc(>=10): 1(6569) || CAT-SINGLE-BINARY || sample 110586/6569(117155) ||	ACE touchscreen question "Have you ever had a period of time lasting at least two days when you were feeling so good, "high", excited or "hyper" that other people thought you were not your normal self or you were so "hyper" that you got into trouble?"
4968	FI4 : positional arithmetic	binary	phesant	115690	245504	17346	98344	4968_0|| CAT-SINGLE || reassignments: 5=0|6=1|7=0|8=0|-1=0 || Inc(>=10): 1(98344) || Inc(>=10): 0(17346) || CAT-SINGLE-BINARY || sample 17346/98344(115690) ||	ACE touchscreen question "11 12 13 14 15 16 17 18 Divide the sixth number to the right of twelve by three. Is the answer?". Part 4 of Fluid Intelligence test. Offered choice from 5, 6, 7, or 8.
4990	FI6 : conditional arithmetic	binary	phesant	102181	259013	32237	69944	4990_0|| CAT-SINGLE || reassignments: 68=0|69=1|70=0|71=0|72=0|-1=0 || Inc(>=10): 0(32237) || Inc(>=10): 1(69944) || CAT-SINGLE-BINARY || sample 32237/69944(102181) ||	ACE touchscreen question "If sixty is more than half of seventy-five, multiply twenty-three by three. If not subtract 15 from eighty-five. Is the answer?". Part 6 of Fluid Intelligence test. Offered choice from 68, 69, 70, 71, 72.
5012	FI8 : chained arithmetic	binary	phesant	75692	285502	26606	49086	5012_0|| CAT-SINGLE || reassignments: 25=0|26=1|27=0|28=0|29=0|-1=0 || Inc(>=10): 1(49086) || Inc(>=10): 0(26606) || CAT-SINGLE-BINARY || sample 26606/49086(75692) ||	ACE touchscreen question "If David is twenty-one and Owen is nineteen and Daniel is nine years younger than David, what is half their combined age?". Part 8 of Fluid Intelligence test. Offered choice from 25, 26, 27, 28 or 29.
5663	Length of longest manic/irritable episode	binary	phesant	19474	341720	4092	15382	5663_0|| CAT-SINGLE || reassignments: 12=11 || Inc(>=10): 13(4092) || Inc(>=10): 11(15382) || CAT-SINGLE-BINARY || sample 15382/4092(19474) ||	ACE touchscreen question "What is the longest time period that these "high" or "irritable" periods have lasted?" ~F5663~ was collected from participants who indicated they have had a period of at least two days when they were more high, excited or hyper than their normal self, or so irritable they shouted or started fights or arguments, as defined by their answers to ~F4642~ and ~F4642~
5674	Severity of manic/irritable episodes	binary	phesant	20984	340210	5768	15216	5674_0|| CAT-SINGLE || Inc(>=10): 12(5768) || Inc(>=10): 11(15216) || CAT-SINGLE-BINARY || sample 15216/5768(20984) ||	ACE touchscreen question "How much of a problem have these "high" or "irritable" periods caused you?" ~F5674~ was collected from participants who indicated they have had a period of at least two days when they were more high, excited or hyper than their normal self, or so irritable they shouted or started fights or arguments, as defined by their answers to ~F4642~ and ~F4642~
5699	FI10 : arithmetic sequence recognition	binary	phesant	20880	340314	4159	16721	5699_0|| CAT-SINGLE || reassignments: 96=0|95=1|94=0|93=0|92=0 || Inc(>=10): 1(16721) || Inc(>=10): 0(4159) || CAT-SINGLE-BINARY || sample 4159/16721(20880) ||	ACE touchscreen question "150 ... 137 ... 125 ... 114 ... 104 ... What comes next?". Part 10 of Fluid Intelligence test. Offered choice from 92, 93, 94, 95 or 96.
6145_1	Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself	binary	phesant	358836	2358	325595	33241	6145_0 || CAT-MUL-BINARY-VAR 1 || NO_NAN Remove NA participants 512 || Removed 1846 examples != 1 but with missing value (<0) || sample 325595/33241(358836) ||	ACE touchscreen question "In the last 2 years have you experienced any of the following? (You can select more than one answer)" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. 
6145_2	Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault of a close relative	binary	phesant	358836	2358	317377	41459	6145_0 || CAT-MUL-BINARY-VAR 2 || NO_NAN Remove NA participants 512 || Removed 1846 examples != 2 but with missing value (<0) || sample 317377/41459(358836) ||	ACE touchscreen question "In the last 2 years have you experienced any of the following? (You can select more than one answer)" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. 
6145_3	Illness, injury, bereavement, stress in last 2 years: Death of a close relative	binary	phesant	358836	2358	283531	75305	6145_0 || CAT-MUL-BINARY-VAR 3 || NO_NAN Remove NA participants 512 || Removed 1846 examples != 3 but with missing value (<0) || sample 283531/75305(358836) ||	ACE touchscreen question "In the last 2 years have you experienced any of the following? (You can select more than one answer)" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. 
6145_4	Illness, injury, bereavement, stress in last 2 years: Death of a spouse or partner	binary	phesant	358836	2358	353248	5588	6145_0 || CAT-MUL-BINARY-VAR 4 || NO_NAN Remove NA participants 512 || Removed 1846 examples != 4 but with missing value (<0) || sample 353248/5588(358836) || SKIP_val:-3 < 0 ||	ACE touchscreen question "In the last 2 years have you experienced any of the following? (You can select more than one answer)" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. 
6145_5	Illness, injury, bereavement, stress in last 2 years: Marital separation/divorce	binary	phesant	358836	2358	348020	10816	6145_0 || CAT-MUL-BINARY-VAR 5 || NO_NAN Remove NA participants 512 || Removed 1846 examples != 5 but with missing value (<0) || sample 348020/10816(358836) ||	ACE touchscreen question "In the last 2 years have you experienced any of the following? (You can select more than one answer)" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. 
6145_6	Illness, injury, bereavement, stress in last 2 years: Financial difficulties	binary	phesant	358836	2358	318166	40670	6145_0 || CAT-MUL-BINARY-VAR 6 || NO_NAN Remove NA participants 512 || Removed 1846 examples != 6 but with missing value (<0) || sample 318166/40670(358836) ||	ACE touchscreen question "In the last 2 years have you experienced any of the following? (You can select more than one answer)" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. 
6156_11	Manic/hyper symptoms: I was more active than usual	binary	phesant	24049	337145	18019	6030	6156_0 || CAT-MUL-BINARY-VAR 11 || NO_NAN Remove NA participants 337145 || Removed 0 examples != 11 but with missing value (<0) || sample 18019/6030(24049) ||	ACE touchscreen question "Please try to remember a period when you were in a "high" or "irritable" state and select which of the following apply." The following checks were performed: If code 15 was selected, then no additional choices were allowed. If code -7 was selected, then no additional choices were allowed. ~F6156~ was collected from participants who indicated they have had a period of at least two days when they were more high, excited or hyper than their normal self, or so irritable they shouted or started fights or arguments, as defined by their answers to ~F4642~ and ~F4642~
6156_12	Manic/hyper symptoms: I was more talkative than usual	binary	phesant	24049	337145	19022	5027	6156_0 || CAT-MUL-BINARY-VAR 12 || NO_NAN Remove NA participants 337145 || Removed 0 examples != 12 but with missing value (<0) || sample 19022/5027(24049) ||	ACE touchscreen question "Please try to remember a period when you were in a "high" or "irritable" state and select which of the following apply." The following checks were performed: If code 15 was selected, then no additional choices were allowed. If code -7 was selected, then no additional choices were allowed. ~F6156~ was collected from participants who indicated they have had a period of at least two days when they were more high, excited or hyper than their normal self, or so irritable they shouted or started fights or arguments, as defined by their answers to ~F4642~ and ~F4642~
6156_13	Manic/hyper symptoms: I needed less sleep than usual	binary	phesant	24049	337145	20790	3259	6156_0 || CAT-MUL-BINARY-VAR 13 || NO_NAN Remove NA participants 337145 || Removed 0 examples != 13 but with missing value (<0) || sample 20790/3259(24049) ||	ACE touchscreen question "Please try to remember a period when you were in a "high" or "irritable" state and select which of the following apply." The following checks were performed: If code 15 was selected, then no additional choices were allowed. If code -7 was selected, then no additional choices were allowed. ~F6156~ was collected from participants who indicated they have had a period of at least two days when they were more high, excited or hyper than their normal self, or so irritable they shouted or started fights or arguments, as defined by their answers to ~F4642~ and ~F4642~
6156_14	Manic/hyper symptoms: I was more creative or had more ideas than usual	binary	phesant	24049	337145	21199	2850	6156_0 || CAT-MUL-BINARY-VAR 14 || NO_NAN Remove NA participants 337145 || Removed 0 examples != 14 but with missing value (<0) || sample 21199/2850(24049) ||	ACE touchscreen question "Please try to remember a period when you were in a "high" or "irritable" state and select which of the following apply." The following checks were performed: If code 15 was selected, then no additional choices were allowed. If code -7 was selected, then no additional choices were allowed. ~F6156~ was collected from participants who indicated they have had a period of at least two days when they were more high, excited or hyper than their normal self, or so irritable they shouted or started fights or arguments, as defined by their answers to ~F4642~ and ~F4642~
6156_15	Manic/hyper symptoms: All of the above	binary	phesant	24049	337145	21618	2431	6156_0 || CAT-MUL-BINARY-VAR 15 || NO_NAN Remove NA participants 337145 || Removed 0 examples != 15 but with missing value (<0) || sample 21618/2431(24049) ||	ACE touchscreen question "Please try to remember a period when you were in a "high" or "irritable" state and select which of the following apply." The following checks were performed: If code 15 was selected, then no additional choices were allowed. If code -7 was selected, then no additional choices were allowed. ~F6156~ was collected from participants who indicated they have had a period of at least two days when they were more high, excited or hyper than their normal self, or so irritable they shouted or started fights or arguments, as defined by their answers to ~F4642~ and ~F4642~
6159_1	Pain type(s) experienced in last month: Headache	binary	phesant	360391	803	288719	71672	6159_0 || CAT-MUL-BINARY-VAR 1 || NO_NAN Remove NA participants 180 || Removed 623 examples != 1 but with missing value (<0) || sample 288719/71672(360391) ||	ACE touchscreen question "In the last month have you experienced any of the following that interfered with your usual activites? (You can select more than one answer)" The following checks were performed: If code 8 was selected, then no additional choices were allowed. If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. 
AB1_VIRAL_CNS	Viral infections of the central nervous system	binary	finngen	361194	0	360997	197	NA	NA
AD	Alzheimer's disease	binary	finngen	361194	0	361075	119	NA	NA
AMN2	Transient global amnesia	binary	finngen	361194	0	360911	283	NA	NA
C3_BRAIN	Malignant neoplasm of brain	binary	finngen	361194	0	360819	375	NA	NA
C3_EYE_BRAIN_NEURO	Malignant neoplasm of eye, brain and central nervous system	binary	finngen	361194	0	360677	517	NA	NA
C71	Diagnoses - main ICD10: C71 Malignant neoplasm of brain	binary	icd10	361194	0	360826	368	NA	NA
C_BRAIN	Malignant neoplasm of brain	binary	finngen	361194	0	360819	375	NA	NA
C_EYE_BRAIN_NEURO		binary	finngen	361194	0	360677	517	NA	NA
D33	Diagnoses - main ICD10: D33 Benign neoplasm of brain and other parts of central nervous system	binary	icd10	361194	0	360941	253	NA	NA
D43	Diagnoses - main ICD10: D43 Neoplasm of uncertain or unknown behaviour of brain and central nervous system	binary	icd10	361194	0	361079	115	NA	NA
F05	Diagnoses - main ICD10: F05 Delirium, not induced by alcohol and other psychoactive substances	binary	icd10	361194	0	361088	106	NA	NA
F10	Diagnoses - main ICD10: F10 Mental and behavioural disorders due to use of alcohol	binary	icd10	361194	0	360408	786	NA	NA
F20	Diagnoses - main ICD10: F20 Schizophrenia	binary	icd10	361194	0	360996	198	NA	NA
F31	Diagnoses - main ICD10: F31 Bipolar affective disorder	binary	icd10	361194	0	360823	371	NA	NA
F32	Diagnoses - main ICD10: F32 Depressive episode	binary	icd10	361194	0	360418	776	NA	NA
F33	Diagnoses - main ICD10: F33 Recurrent depressive disorder	binary	icd10	361194	0	360901	293	NA	NA
F41	Diagnoses - main ICD10: F41 Other anxiety disorders	binary	icd10	361194	0	360778	416	NA	NA
F43	Diagnoses - main ICD10: F43 Reaction to severe stress, and adjustment disorders	binary	icd10	361194	0	360967	227	NA	NA
F45	Diagnoses - main ICD10: F45 Somatoform disorders	binary	icd10	361194	0	360953	241	NA	NA
F52	Diagnoses - main ICD10: F52 Sexual dysfunction, not caused by organic disorder or disease	binary	icd10	361194	0	361073	121	NA	NA
F5_ALCOHOLAC	Acute alcohol intoxication	binary	finngen	361194	0	361063	131	NA	NA
F5_ALLANXIOUS	All anxiety disorders	binary	finngen	361194	0	360662	532	NA	NA
F5_ANXIETY	Other anxiety disorders	binary	finngen	361194	0	360842	352	NA	NA
F5_BEHAVE	Behavioural syndromes associated with physiological disturbances and physical factors	binary	finngen	361194	0	361011	183	NA	NA
F5_DEMENTIA	Dementia	binary	finngen	361194	0	361037	157	NA	NA
F5_DEPRESSIO	Depression	binary	finngen	361194	0	360049	1145	NA	NA
F5_MOOD	Mood [affective] disorders	binary	finngen	361194	0	359648	1546	NA	NA
F5_PANIC	Panic disorder	binary	finngen	361194	0	361082	112	NA	NA
F5_PERSONALITY	Specific personality disorders	binary	finngen	361194	0	361066	128	NA	NA
F5_SCHIZO	Schizophrenia, schizotypal and delusional disorders	binary	finngen	361194	0	360733	461	NA	NA
F99	Diagnoses - main ICD10: F99 Mental disorder, not otherwise specified	binary	icd10	361194	0	361076	118	NA	NA
G12	Diagnoses - main ICD10: G12 Spinal muscular atrophy and related syndromes	binary	icd10	361194	0	361074	120	NA	NA
G20	Diagnoses - main ICD10: G20 Parkinson's disease	binary	icd10	361194	0	360988	206	NA	NA
G24	Diagnoses - main ICD10: G24 Dystonia	binary	icd10	361194	0	361087	107	NA	NA
G35	Diagnoses - main ICD10: G35 Multiple sclerosis	binary	icd10	361194	0	360628	566	NA	NA
G37	Diagnoses - main ICD10: G37 Other demyelinating diseases of central nervous system	binary	icd10	361194	0	360994	200	NA	NA
G40	Diagnoses - main ICD10: G40 Epilepsy	binary	icd10	361194	0	360399	795	NA	NA
G43	Diagnoses - main ICD10: G43 Migraine	binary	icd10	361194	0	360122	1072	NA	NA
G44	Diagnoses - main ICD10: G44 Other headache syndromes	binary	icd10	361194	0	360887	307	NA	NA
G45	Diagnoses - main ICD10: G45 Transient cerebral ischaemic attacks and related syndromes	binary	icd10	361194	0	359450	1744	NA	NA
G47	Diagnoses - main ICD10: G47 Sleep disorders	binary	icd10	361194	0	358471	2723	NA	NA
G50	Diagnoses - main ICD10: G50 Disorders of trigeminal nerve	binary	icd10	361194	0	360982	212	NA	NA
G51	Diagnoses - main ICD10: G51 Facial nerve disorders	binary	icd10	361194	0	360819	375	NA	NA
G54	Diagnoses - main ICD10: G54 Nerve root and plexus disorders	binary	icd10	361194	0	361051	143	NA	NA
G56	Diagnoses - main ICD10: G56 Mononeuropathies of upper limb	binary	icd10	361194	0	353064	8130	NA	NA
G57	Diagnoses - main ICD10: G57 Mononeuropathies of lower limb	binary	icd10	361194	0	360083	1111	NA	NA
G58	Diagnoses - main ICD10: G58 Other mononeuropathies	binary	icd10	361194	0	361062	132	NA	NA
G61	Diagnoses - main ICD10: G61 Inflammatory polyneuropathy	binary	icd10	361194	0	360988	206	NA	NA
G62	Diagnoses - main ICD10: G62 Other polyneuropathies	binary	icd10	361194	0	360902	292	NA	NA
G6_ALS	Motor neuron disease	binary	finngen	361194	0	361027	167	NA	NA
G6_BELLPA	Bell's palsy	binary	finngen	361194	0	360856	338	NA	NA
G6_CARPTU	Carpal tunnel syndrome	binary	finngen	361194	0	353221	7973	NA	NA
G6_CONCUS	Concussion	binary	finngen	361194	0	361057	137	NA	NA
G6_CPETAL	Cerebral palsy and other paralytic syndromes	binary	finngen	361194	0	360610	584	NA	NA
